"Name","Num","Mmb","Hv","<Hv>","h:m:s","d:m:s","radD","radR"
"120","Scl","0120",1,105,0,"00 : 59 : 15.55","-33 : 37 : 02.6",-0.737590686303237,0.258566892580352
"121","Scl","0121",1,111,0,"00 : 59 : 18.72","-33 : 38 : 13.2",-0.742724863186187,0.258797421485719
"122","Scl","0122",1,104,0,"00 : 59 : 22.39","-33 : 38 : 45.6",-0.745081057676379,0.25906431141717
"123","Scl","0123",0.999,106,0,"00 : 59 : 26.71","-33 : 39 : 06.5",-0.746600948566658,0.259378470682529
"124","Scl","0124",1,108,0,"00 : 59 : 18.73","-33 : 45 : 15.7",-0.773449930226504,0.258798148706241
"125","Scl","0125",1,110.1,1.8,"00 : 59 : 13.37","-33 : 44 : 14.5",-0.768999340633918,0.258408358506629
"126","Scl","0126",1,106,0,"00 : 59 : 21.31","-33 : 43 : 20.8",-0.765094166432581,0.25898577160083
"127","Scl","0127",1,113,0,"00 : 59 : 18.74","-33 : 42 : 36.4",-0.761865307316391,0.258798875926763
"128","Scl","0128",1,107,0,"00 : 59 : 19.58","-33 : 42 : 11.8",-0.760076344833097,0.258859962450582
"129","Scl","0129",1,100,0,"00 : 59 : 20.62","-33 : 40 : 05.5",-0.750891549644477,0.258935593384835
"130","Scl","0130",1,114.7,1.1,"00 : 59 : 11.20","-33 : 44 : 28.3",-0.770002904953815,0.258250551653428
"131","Scl","0131",0.998,90,0,"00 : 59 : 09.29","-33 : 43 : 11.6",-0.76442512355265,0.25811165253379
"132","Scl","0132",1,119.7,1.9,"00 : 59 : 10.39","-33 : 42 : 13.6",-0.760207244526997,0.258191646791173
"133","Scl","0133",1,124.7,2.2,"00 : 59 : 06.97","-33 : 41 : 51.1",-0.758570998353252,0.257942937372764
"134","Scl","0134",1,116.9,0.9,"00 : 59 : 13.19","-33 : 41 : 47.5",-0.758309198965453,0.258395268537239
"135","Scl","0135",1,106,0,"00 : 59 : 12.24","-33 : 41 : 35.2",-0.757414717723806,0.258326182587681
"136","Scl","0136",0.998,138,0,"00 : 59 : 11.07","-33 : 40 : 39.4",-0.753356827212919,0.258241097786646
"137","Scl","0137",1,110.6,0.8,"00 : 59 : 08.80","-33 : 40 : 21.3",-0.752040558068707,0.258076018728228
